id,model,favs,downloads,url
82b0407f-809c-4a0b-8a53-211a776d9ed5,Mesa Boogie Dual Rectifier 100w Solo Head,7,25,https://tonehunt.org/danschultz4384/82b0407f-809c-4a0b-8a53-211a776d9ed5
0c8591d7-6352-47dd-ab52-c0d5813d3365,Mesa Boogie Dual Rectifier 100w Solo Head,8,29,https://tonehunt.org/danschultz4384/0c8591d7-6352-47dd-ab52-c0d5813d3365
0c8591d7-6352-47dd-ab52-c0d5813d3365,Mesa Boogie Dual Rectifier 100w Solo Head,8,29,https://tonehunt.org/danschultz4384/0c8591d7-6352-47dd-ab52-c0d5813d3365
6509034f-988c-42f6-b984-cf46c8fca67c,GCI Pariah and Peavey 6534+,12,31,https://tonehunt.org/helgab/6509034f-988c-42f6-b984-cf46c8fca67c
6509034f-988c-42f6-b984-cf46c8fca67c,GCI Pariah and Peavey 6534+,12,31,https://tonehunt.org/helgab/6509034f-988c-42f6-b984-cf46c8fca67c
ddf39665-9bcf-47f3-9364-633f2ad6f957,DIY 5F1,7,32,https://tonehunt.org/OutmodedElectronics/ddf39665-9bcf-47f3-9364-633f2ad6f957
ddf39665-9bcf-47f3-9364-633f2ad6f957,DIY 5F1,7,32,https://tonehunt.org/OutmodedElectronics/ddf39665-9bcf-47f3-9364-633f2ad6f957
a342e50e-7a5f-4f6b-8e94-e4c808a405ac,Marshall AFD100,10,29,https://tonehunt.org/brianbuckles/a342e50e-7a5f-4f6b-8e94-e4c808a405ac
5a03798c-1d25-4c9c-b0bd-5d49d7997502,1965 Fender Bassman Head,18,63,https://tonehunt.org/Ideofunk/5a03798c-1d25-4c9c-b0bd-5d49d7997502
5a03798c-1d25-4c9c-b0bd-5d49d7997502,1965 Fender Bassman Head,18,63,https://tonehunt.org/Ideofunk/5a03798c-1d25-4c9c-b0bd-5d49d7997502
f638691b-8337-459d-9536-9be0b24f5d0c,1967 Fender Bassman head,14,43,https://tonehunt.org/Ideofunk/f638691b-8337-459d-9536-9be0b24f5d0c
f638691b-8337-459d-9536-9be0b24f5d0c,1967 Fender Bassman head,14,43,https://tonehunt.org/Ideofunk/f638691b-8337-459d-9536-9be0b24f5d0c
cbea7893-8fea-4656-873b-4a9637a8d919,Mesa/Boogie 2:90 Simul-Class,18,33,https://tonehunt.org/SlamminMofo/cbea7893-8fea-4656-873b-4a9637a8d919
cbea7893-8fea-4656-873b-4a9637a8d919,Mesa/Boogie 2:90 Simul-Class,18,33,https://tonehunt.org/SlamminMofo/cbea7893-8fea-4656-873b-4a9637a8d919
8113e8eb-adcb-4561-a25b-51be2f82890f,Fryette Powerstation PS-1 6L6 50W,17,48,https://tonehunt.org/SlamminMofo/8113e8eb-adcb-4561-a25b-51be2f82890f
8113e8eb-adcb-4561-a25b-51be2f82890f,Fryette Powerstation PS-1 6L6 50W,17,48,https://tonehunt.org/SlamminMofo/8113e8eb-adcb-4561-a25b-51be2f82890f
